FRAME NR	PREYS	PREDATORS
0	15	5
1	15	5
2	15	5
3	15	5
4	15	5
5	15	5
6	15	5
7	15	5
8	15	5
9	15	5
10	16	5
11	16	5
12	16	5
13	16	5
14	16	5
15	16	5
16	16	5
17	16	5
18	16	5
19	16	5
20	17	5
21	17	5
22	17	5
23	17	5
24	17	5
25	17	5
26	17	5
27	17	5
28	17	5
29	17	5
30	17	5
31	17	5
32	17	5
33	17	5
34	17	5
35	17	5
36	17	5
37	17	5
38	17	5
39	17	5
40	18	5
41	18	5
42	18	5
43	18	5
44	18	5
45	18	5
46	18	5
47	19	5
48	19	5
49	19	5
50	19	5
51	19	5
52	19	5
53	19	5
54	19	5
55	19	5
56	20	5
57	20	5
58	20	5
59	21	5
60	21	5
61	22	5
62	22	5
63	22	5
64	22	5
65	22	5
66	22	5
67	22	5
68	22	5
69	22	5
70	22	5
71	22	5
72	22	5
73	22	5
74	22	5
75	21	5
76	21	5
77	21	5
78	21	5
79	21	5
80	22	5
81	22	5
82	22	5
83	22	5
84	22	5
85	22	5
86	22	5
87	23	5
88	23	5
89	23	5
90	23	5
91	23	5
92	23	5
93	24	5
94	24	5
95	24	5
96	24	5
97	25	5
98	25	5
99	25	5
100	25	5
101	25	5
102	25	5
103	25	6
104	25	6
105	25	6
106	26	6
107	26	6
108	26	6
109	26	6
110	27	7
111	27	7
112	27	7
113	27	7
114	27	7
115	27	7
116	27	7
117	27	7
118	27	7
119	27	7
120	27	7
121	27	7
122	28	7
123	28	7
124	28	7
125	28	7
126	28	7
127	28	7
128	28	7
129	28	7
130	27	7
131	27	7
132	27	7
133	27	7
134	27	7
135	27	7
136	27	7
137	28	7
138	28	7
139	29	7
140	29	7
141	29	7
142	29	7
143	29	7
144	29	8
145	29	8
146	29	8
147	29	8
148	29	8
149	29	8
150	29	8
151	29	8
152	29	8
153	29	8
154	29	8
155	30	8
156	30	8
157	30	8
158	30	8
159	30	8
160	30	8
161	30	8
162	30	8
163	30	8
164	30	8
165	30	8
166	30	8
167	30	8
168	30	8
169	31	8
170	31	8
171	31	8
172	31	8
173	31	8
174	31	8
175	27	8
176	27	8
177	27	8
178	27	8
179	27	8
180	27	8
181	27	8
182	28	8
183	28	8
184	28	8
185	28	8
186	28	8
187	28	8
188	28	8
189	28	8
190	28	8
191	29	8
192	29	8
193	29	8
194	29	8
195	29	8
196	28	8
197	28	8
198	28	8
199	28	8
200	27	8
201	27	8
202	27	8
203	28	8
204	28	8
205	29	8
206	29	8
207	29	8
208	29	8
209	29	8
210	29	8
211	29	8
212	29	9
213	29	9
214	29	9
215	29	9
216	29	9
217	29	9
218	29	9
219	29	9
220	29	9
221	29	9
222	30	9
223	31	9
224	31	9
225	31	8
226	31	8
227	31	8
228	31	8
229	31	8
230	32	8
231	32	8
232	32	8
233	32	8
234	33	8
235	33	8
236	33	8
237	33	8
238	33	8
239	33	8
240	34	8
241	34	8
242	34	8
243	33	8
244	32	8
245	32	8
246	33	8
247	32	8
248	31	8
249	31	8
250	30	6
251	30	6
252	30	6
253	31	6
254	31	6
255	31	6
256	31	6
257	31	6
258	31	6
259	31	6
260	30	6
261	29	6
262	28	6
263	28	6
264	28	6
265	28	6
266	28	6
267	28	6
268	28	6
269	28	6
270	28	6
271	28	6
272	28	6
273	28	6
274	28	6
275	27	6
276	27	6
277	27	6
278	27	6
279	27	6
280	27	6
281	27	6
282	27	6
283	27	6
284	27	6
285	27	6
286	27	6
287	27	6
288	27	6
289	27	6
