FRAME NR	FEAR OF PREDATORS
0	-0.48506130915483164
1	-0.48506130915483164
2	-0.48506130915483164
3	-0.48506130915483164
4	-0.48506130915483164
5	-0.48506130915483164
6	-0.48506130915483164
7	-0.48506130915483164
8	-0.48506130915483164
9	-0.48506130915483164
10	-0.48506130915483164
11	-0.5660793158614101
12	-0.5660793158614101
13	-0.5660793158614101
14	-0.5660793158614101
15	-0.5660793158614101
16	-0.5660793158614101
17	-0.5660793158614101
18	-0.5660793158614101
19	-0.5660793158614101
20	-0.5660793158614101
21	-0.7837317747178473
22	-0.7837317747178473
23	-0.7837317747178473
24	-0.7837317747178473
25	-0.7837317747178473
26	-0.7837317747178473
27	-0.7837317747178473
28	-0.7837317747178473
29	-0.7837317747178473
30	-0.7837317747178473
31	-0.7837317747178473
32	-0.7837317747178473
33	-0.7837317747178473
34	-0.7837317747178473
35	-0.7837317747178473
36	-0.7837317747178473
37	-0.7837317747178473
38	-0.7837317747178473
39	-0.7837317747178473
40	-0.7837317747178473
41	-0.6517617788161614
42	-0.6517617788161614
43	-0.6517617788161614
44	-0.6517617788161614
45	-0.6517617788161614
46	-0.6517617788161614
47	-0.6517617788161614
48	-1.1059488395140413
49	-1.1059488395140413
50	-1.1059488395140413
51	-1.1059488395140413
52	-1.1059488395140413
53	-1.1059488395140413
54	-1.1059488395140413
55	-1.1059488395140413
56	-1.1059488395140413
57	-0.9710649899627145
58	-0.9710649899627145
59	-0.9710649899627145
60	-1.1279748055083396
61	-1.1279748055083396
62	-1.4985812203523186
63	-1.4985812203523186
64	-1.4985812203523186
65	-1.4985812203523186
66	-1.4985812203523186
67	-1.4985812203523186
68	-1.4985812203523186
69	-1.4985812203523186
70	-1.4985812203523186
71	-1.4985812203523186
72	-1.4985812203523186
73	-1.4985812203523186
74	-1.4985812203523186
75	-1.4985812203523186
76	-1.6457388094887384
77	-1.6457388094887384
78	-1.6457388094887384
79	-1.6457388094887384
80	-1.6457388094887384
81	-1.1712788850016969
82	-1.7147066519881524
83	-1.7147066519881524
84	-1.7147066519881524
85	-1.7147066519881524
86	-1.7147066519881524
87	-1.7147066519881524
88	-1.9921262578711687
89	-1.9921262578711687
90	-1.9921262578711687
91	-1.9921262578711687
92	-1.9921262578711687
93	-1.9921262578711687
94	-1.8427989908135158
95	-1.8427989908135158
96	-1.8427989908135158
97	-1.8427989908135158
98	-2.0894139850499687
99	-2.0894139850499687
100	-2.0894139850499687
101	-2.0894139850499687
102	-2.0894139850499687
103	-2.0894139850499687
104	-2.0894139850499687
105	-2.0894139850499687
106	-2.0894139850499687
107	-2.292197320335581
108	-2.292197320335581
109	-2.292197320335581
110	-2.292197320335581
111	-2.22417864872679
112	-2.22417864872679
113	-2.22417864872679
114	-2.22417864872679
115	-2.22417864872679
116	-2.22417864872679
117	-2.22417864872679
118	-2.22417864872679
119	-2.22417864872679
120	-2.22417864872679
121	-2.22417864872679
122	-2.22417864872679
123	-1.9415749876049042
124	-1.9415749876049042
125	-1.9415749876049042
126	-1.9415749876049042
127	-1.9415749876049042
128	-1.9415749876049042
129	-1.9415749876049042
130	-1.9415749876049042
131	-2.2701958301912257
132	-2.2701958301912257
133	-2.2701958301912257
134	-2.2701958301912257
135	-2.2701958301912257
136	-2.2701958301912257
137	-2.2701958301912257
138	-1.9859486983027534
139	-1.9859486983027534
140	-1.8625805310677452
141	-1.8625805310677452
142	-1.8625805310677452
143	-1.8625805310677452
144	-1.8625805310677452
145	-1.8625805310677452
146	-1.8625805310677452
147	-1.8625805310677452
148	-1.8625805310677452
149	-1.8625805310677452
150	-1.8625805310677452
151	-1.8625805310677452
152	-1.8625805310677452
153	-1.8625805310677452
154	-1.8625805310677452
155	-1.8625805310677452
156	-1.7474369083150703
157	-1.7474369083150703
158	-1.7474369083150703
159	-1.7474369083150703
160	-1.7474369083150703
161	-1.7474369083150703
162	-1.7474369083150703
163	-1.7474369083150703
164	-1.7474369083150703
165	-1.7474369083150703
166	-1.7474369083150703
167	-1.7474369083150703
168	-1.7474369083150703
169	-1.7474369083150703
170	-1.4074428296847075
171	-1.4074428296847075
172	-1.4074428296847075
173	-1.4074428296847075
174	-1.4074428296847075
175	-1.6159528785268864
176	-0.8446419252920189
177	-0.8446419252920189
178	-0.8446419252920189
179	-0.8446419252920189
180	-0.8446419252920189
181	-0.8446419252920189
182	-0.8446419252920189
183	-1.1035960560779299
184	-1.1035960560779299
185	-1.1035960560779299
186	-1.1035960560779299
187	-1.1035960560779299
188	-1.1035960560779299
189	-1.1035960560779299
190	-1.1035960560779299
191	-1.1035960560779299
192	-0.8693781278446908
193	-0.8693781278446908
194	-0.8693781278446908
195	-0.8693781278446908
196	-0.9004273466962869
197	-0.7480640925383999
198	-0.7480640925383999
199	-0.7480640925383999
200	-0.805607484272123
201	-1.2147990643269548
202	-1.2147990643269548
203	-1.2147990643269548
204	-0.8573998288429142
205	-0.8573998288429142
206	-0.7847201757884105
207	-0.7847201757884105
208	-0.7847201757884105
209	-0.7847201757884105
210	-0.7847201757884105
211	-0.7847201757884105
212	-0.7847201757884105
213	-0.7847201757884105
214	-0.7847201757884105
215	-0.7847201757884105
216	-0.7847201757884105
217	-0.7847201757884105
218	-0.7847201757884105
219	-0.7847201757884105
220	-0.7847201757884105
221	-0.7847201757884105
222	-0.7847201757884105
223	-0.5689387078392634
224	-0.8205974798036463
225	-0.8205974798036463
226	-0.8205974798036463
227	-0.8205974798036463
228	-0.8205974798036463
229	-0.8205974798036463
230	-0.8205974798036463
231	-0.809194220650352
232	-0.809194220650352
233	-0.809194220650352
234	-0.809194220650352
235	-0.7467849985173808
236	-0.7467849985173808
237	-0.7467849985173808
238	-0.7467849985173808
239	-0.7467849985173808
240	-0.7467849985173808
241	-0.6880469070981139
242	-0.6880469070981139
243	-0.6880469070981139
244	-0.463582947092071
245	-0.5171421051180012
246	-0.5171421051180012
247	-0.5152800166870988
248	-0.5704547081378735
249	-0.3277159055843362
250	-0.3386397691038141
251	-0.05962774781264346
252	-0.05962774781264346
253	-0.05962774781264346
254	-0.35710156020823175
255	-0.35710156020823175
256	-0.35710156020823175
257	-0.35710156020823175
258	-0.35710156020823175
259	-0.35710156020823175
260	-0.3690049455485061
261	-0.23461990517359788
262	-0.22672443082628976
263	0.10475113817642015
264	0.10475113817642015
265	0.10475113817642015
266	0.10475113817642015
267	0.10475113817642015
268	0.10475113817642015
269	0.10475113817642015
270	0.10475113817642015
271	0.10475113817642015
272	0.10475113817642015
273	0.10475113817642015
274	0.10475113817642015
275	0.108630809960732
276	0.38128935449687645
277	0.38128935449687645
278	0.38128935449687645
279	0.38128935449687645
280	0.38128935449687645
281	0.38128935449687645
282	0.38128935449687645
283	0.38128935449687645
284	0.38128935449687645
285	0.38128935449687645
286	0.38128935449687645
287	0.38128935449687645
288	0.38128935449687645
289	0.38128935449687645
290	0.38128935449687645
291	0.38128935449687645
292	0.38128935449687645
293	0.38128935449687645
294	0.38128935449687645
295	0.38128935449687645
296	0.38128935449687645
297	0.38128935449687645
298	0.38128935449687645
299	0.38128935449687645
300	0.38128935449687645
301	0.38128935449687645
302	0.38128935449687645
303	0.38128935449687645
304	0.38128935449687645
305	0.38128935449687645
306	0.38128935449687645
307	0.3959543296698332
308	0.6790997413035221
309	0.6790997413035221
310	0.6790997413035221
311	0.706263730955663
312	0.7775177076140662
313	0.7775177076140662
314	0.7775177076140662
315	0.7775177076140662
316	0.7775177076140662
317	0.7775177076140662
318	0.7775177076140662
319	0.7775177076140662
320	0.7775177076140662
321	0.7775177076140662
322	0.7775177076140662
323	0.8099142787646524
324	1.1966357759344806
325	1.1966357759344806
326	1.1966357759344806
327	1.1966357759344806
328	1.1966357759344806
329	1.1966357759344806
330	1.1966357759344806
331	1.1966357759344806
332	1.3763192994045415
333	1.782430963493695
334	1.782430963493695
335	1.782430963493695
336	1.782430963493695
337	1.782430963493695
338	1.782430963493695
339	1.782430963493695
340	1.782430963493695
341	1.782430963493695
342	1.782430963493695
343	1.782430963493695
344	1.9709045866931139
345	1.9709045866931139
346	1.9709045866931139
347	1.9709045866931139
348	1.9709045866931139
349	1.9709045866931139
350	1.9709045866931139
351	1.9709045866931139
352	1.9709045866931139
353	1.9709045866931139
354	1.9709045866931139
355	1.9709045866931139
356	1.9709045866931139
357	1.9709045866931139
358	1.9709045866931139
359	1.9709045866931139
360	1.9709045866931139
361	1.9709045866931139
362	1.9709045866931139
363	1.9709045866931139
364	1.9709045866931139
365	1.9431894145025208
366	1.9431894145025208
367	1.9431894145025208
368	1.9431894145025208
369	1.9431894145025208
370	1.9431894145025208
371	1.9431894145025208
372	1.9431894145025208
373	1.9431894145025208
374	1.9301723306880754
375	1.9301723306880754
376	1.9301723306880754
377	1.9301723306880754
378	1.9301723306880754
379	1.9301723306880754
380	1.9301723306880754
381	1.9301723306880754
382	1.9301723306880754
383	1.9301723306880754
384	1.9301723306880754
385	1.9301723306880754
386	1.9301723306880754
387	1.9301723306880754
388	1.9301723306880754
389	1.9301723306880754
390	1.9301723306880754
391	1.9301723306880754
392	1.9301723306880754
393	1.9301723306880754
394	1.9301723306880754
395	1.9301723306880754
396	1.9301723306880754
397	1.9301723306880754
398	1.9301723306880754
399	1.9301723306880754
400	1.9301723306880754
401	2.004409728022232
402	1.9962351044121038
403	1.9962351044121038
404	2.076084508588588
405	1.7243893274195408
406	1.7962388827286881
407	1.8152260988494475
408	1.8152260988494475
409	1.8152260988494475
410	1.8152260988494475
411	1.8152260988494475
412	1.8152260988494475
413	1.8152260988494475
414	1.8152260988494475
415	1.8152260988494475
416	1.8152260988494475
417	1.6468131525956842
418	1.6468131525956842
419	1.6468131525956842
420	1.6468131525956842
421	1.6468131525956842
422	1.6468131525956842
423	1.6468131525956842
424	1.4815521885692464
425	1.8303172151832103
426	1.8303172151832103
427	1.3858518892928466
428	1.3858518892928466
429	1.3858518892928466
430	1.3858518892928466
431	0.9755762038555881
432	0.9755762038555881
433	0.9755762038555881
434	0.6428447205007577
435	0.44877244580132547
436	0.44877244580132547
437	0.44877244580132547
438	0.44877244580132547
439	0.44877244580132547
440	0.44877244580132547
441	0.44877244580132547
442	0.44877244580132547
443	0.44877244580132547
444	0.44877244580132547
445	0.44877244580132547
446	0.44877244580132547
447	0.46672334363337853
448	0.4849510711093075
449	0.4849510711093075
450	0.4849510711093075
451	0.4849510711093075
452	0.4849510711093075
453	0.4849510711093075
454	0.685096178477642
455	0.685096178477642
456	0.685096178477642
457	0.685096178477642
458	0.685096178477642
459	0.685096178477642
460	0.7186751404418958
461	0.7186751404418958
462	0.7186751404418958
463	0.7186751404418958
464	0.7186751404418958
465	0.7186751404418958
466	0.7186751404418958
467	0.7186751404418958
468	0.7186751404418958
469	0.7186751404418958
470	0.7186751404418958
471	0.7186751404418958
472	0.7186751404418958
473	0.7463164919973535
474	1.054323178409847
475	1.054323178409847
