FRAME NR	BASIC FOOD	ALTERNATE FOOD
0	59	0
1	59	0
2	59	0
3	59	0
4	59	0
5	59	0
6	59	0
7	59	0
8	59	0
9	60	0
10	60	0
11	59	0
12	59	0
13	60	0
14	60	0
15	59	0
16	59	0
17	57	0
18	57	0
19	57	0
20	57	0
21	58	0
22	58	0
23	59	0
24	59	0
25	59	0
26	58	0
27	58	0
28	58	0
29	59	0
30	60	0
31	60	0
32	61	0
33	61	0
34	61	0
35	61	0
36	61	0
37	62	0
38	62	0
39	62	0
40	62	0
41	62	0
42	61	0
43	61	0
44	61	0
45	61	0
46	60	0
47	61	0
48	61	0
49	61	0
50	61	0
51	61	0
52	61	0
53	61	0
54	62	0
55	61	0
56	61	0
57	60	0
58	60	0
59	60	0
60	60	0
61	60	0
62	61	0
63	61	0
64	62	0
65	62	0
66	62	0
67	62	0
68	62	0
69	62	0
70	62	0
71	63	0
72	63	0
73	62	0
74	63	0
75	64	0
76	64	0
77	65	0
78	65	0
79	65	0
80	66	0
81	66	0
82	66	0
83	66	0
84	66	0
85	66	0
86	65	0
87	65	0
88	65	0
89	65	0
90	65	0
91	65	0
92	65	0
93	65	0
94	65	0
95	65	0
96	65	0
97	66	0
98	66	0
99	65	0
100	66	0
101	66	0
102	66	0
103	66	0
104	67	0
105	67	0
106	67	0
107	65	0
108	66	0
109	66	0
110	66	0
111	67	0
112	68	0
113	68	0
114	68	0
115	67	0
116	67	0
117	66	0
118	65	0
119	65	0
120	66	0
121	64	0
122	64	0
123	64	0
124	64	0
125	64	0
126	63	0
127	63	0
128	63	0
129	63	0
130	62	0
131	63	0
132	63	0
133	63	0
134	63	0
135	64	0
136	64	0
137	64	0
138	63	0
139	63	0
140	64	0
141	64	0
142	64	0
143	65	0
144	64	0
145	65	0
146	65	0
147	65	0
148	65	0
149	65	0
150	65	0
151	64	0
152	65	0
153	65	0
154	64	0
155	64	0
156	64	0
157	65	0
158	65	0
159	65	0
160	66	0
161	65	0
162	65	0
163	65	0
164	65	0
165	65	0
166	64	0
167	64	0
168	64	0
169	63	0
170	63	0
171	63	0
172	63	0
173	63	0
174	64	0
175	65	0
176	65	0
177	65	0
178	65	0
179	64	0
180	63	0
181	63	0
182	63	0
183	63	0
184	62	0
185	63	0
186	63	0
187	63	0
188	63	0
189	64	0
190	63	0
191	63	0
192	63	0
193	62	0
194	62	0
195	61	0
196	61	0
197	61	0
198	61	0
199	60	0
200	60	0
201	59	0
202	59	0
203	59	0
204	59	0
205	59	0
206	59	0
207	59	0
208	58	0
209	58	0
210	58	0
211	57	0
212	58	0
213	59	0
214	59	0
215	60	0
216	60	0
217	60	0
218	61	0
219	62	0
220	63	0
221	60	0
222	60	0
223	59	0
224	59	0
225	58	0
226	58	0
227	57	0
228	57	0
229	57	0
230	57	0
231	57	0
232	57	0
233	57	0
234	56	0
235	57	0
236	57	0
237	57	0
238	57	0
239	56	0
240	56	0
241	55	0
242	55	0
243	55	0
244	55	0
245	54	0
246	53	0
247	53	0
248	53	0
249	52	0
250	52	0
251	52	0
252	52	0
253	52	0
254	50	0
255	50	0
256	49	0
257	49	0
258	48	0
259	48	0
260	49	0
261	48	0
262	48	0
263	47	0
264	47	0
265	47	0
266	48	0
267	45	0
268	45	0
269	45	0
270	46	0
271	46	0
272	46	0
273	46	0
274	45	0
275	45	0
276	45	0
277	45	0
278	46	0
279	46	0
280	46	0
281	46	0
282	46	0
283	46	0
284	44	0
285	44	0
286	43	0
287	43	0
288	42	0
289	40	0
290	41	0
291	41	0
292	41	0
293	41	0
294	42	0
295	42	0
296	41	0
297	40	0
298	39	0
299	38	0
300	37	0
301	36	0
302	36	0
303	37	0
304	37	0
305	37	0
306	36	0
307	36	0
308	36	0
309	36	0
310	36	0
311	36	0
312	37	0
313	37	0
314	36	0
315	37	0
316	37	0
317	37	0
318	37	0
319	38	0
320	38	0
321	38	0
322	37	0
323	36	0
324	36	0
325	36	0
326	36	0
327	36	0
328	36	0
329	36	0
330	36	0
331	34	0
332	34	0
333	34	0
334	34	0
335	34	0
336	34	0
337	34	0
338	34	0
339	33	0
340	33	0
341	33	0
342	33	0
343	33	0
344	34	0
345	34	0
346	34	0
347	34	0
348	34	0
349	34	0
350	34	0
351	35	0
352	35	0
353	35	0
354	35	0
355	35	0
356	35	0
357	34	0
358	34	0
359	35	0
360	35	0
361	35	0
362	35	0
363	35	0
364	35	0
365	34	0
366	34	0
367	34	0
368	34	0
369	34	0
370	35	0
371	35	0
372	34	0
373	34	0
374	34	0
375	33	0
376	33	0
377	32	0
378	32	0
379	31	0
380	32	0
381	32	0
382	32	0
383	32	0
384	32	0
385	30	0
386	30	0
387	30	0
388	30	0
389	30	0
390	30	0
391	30	0
392	31	0
393	31	0
394	31	0
395	31	0
396	32	0
397	32	0
398	33	0
399	33	0
400	33	0
401	34	0
402	33	0
403	33	0
404	33	0
405	34	0
406	33	0
407	33	0
408	34	0
409	34	0
410	32	0
411	30	0
412	30	0
413	30	0
414	30	0
415	28	0
416	29	0
417	29	0
418	28	0
419	28	0
420	28	0
421	27	0
422	27	0
423	27	0
424	28	0
425	28	0
426	28	0
427	28	0
428	28	0
429	28	0
430	28	0
431	28	0
432	28	0
433	28	0
434	28	0
435	28	0
436	28	0
437	28	0
438	28	0
439	27	0
440	27	0
441	27	0
442	27	0
443	27	0
444	27	0
445	28	0
446	29	0
447	28	0
448	28	0
449	28	0
450	28	0
451	29	0
452	29	0
453	29	0
454	29	0
455	28	0
456	28	0
457	27	0
458	26	0
459	26	0
460	26	0
461	25	0
462	25	0
463	25	0
464	26	0
465	26	0
466	25	0
467	25	0
468	25	0
469	25	0
470	25	0
471	25	0
472	25	0
473	25	0
474	25	0
475	26	0
476	26	0
477	26	0
478	25	0
479	24	0
480	24	0
481	24	0
482	24	0
483	24	0
484	24	0
485	24	0
486	23	0
487	24	0
488	24	0
489	25	0
490	25	0
491	25	0
492	25	0
493	25	0
494	26	0
495	27	0
496	27	0
497	27	0
498	27	0
499	27	0
500	26	0
501	26	0
502	25	0
503	26	0
504	26	0
505	26	0
506	26	0
507	26	0
508	26	0
509	27	0
510	27	0
511	26	0
512	25	0
513	25	0
514	25	0
515	24	0
516	24	0
517	24	0
518	24	0
519	24	0
520	24	0
521	24	0
522	23	0
523	23	0
524	23	0
525	22	0
526	22	0
527	22	0
528	22	0
529	22	0
530	22	0
531	23	0
532	23	0
533	23	0
534	23	0
535	23	0
536	23	0
537	22	0
538	21	0
539	22	0
540	22	0
541	23	0
542	23	0
543	22	0
544	22	0
545	22	0
546	23	0
547	24	0
548	24	0
549	24	0
550	25	0
551	25	0
552	25	0
553	25	0
554	25	0
555	25	0
556	26	0
557	26	0
558	25	0
559	25	0
560	24	0
561	24	0
562	24	0
563	24	0
564	24	0
565	25	0
566	25	0
567	25	0
568	26	0
569	27	0
570	27	0
571	27	0
572	27	0
573	27	0
574	27	0
575	28	0
576	28	0
577	29	0
578	29	0
579	29	0
580	29	0
581	29	0
582	29	0
583	30	0
584	30	0
585	30	0
586	30	0
587	30	0
588	29	0
589	29	0
590	29	0
591	28	0
592	28	0
593	28	0
594	28	0
595	28	0
596	28	0
597	28	0
598	28	0
